Voornaam,Achternaam,Gebruikersnaam,DisplayName,UserPrincipalName,Department,Title,Description,Wachtwoord,VerzamelOU,GebruikersOU
Dylan,Timmins,timmi262,Dylan Timmins,timmi262@homelab.net,Neighbours,Bouwer,Personage uit Neighbours,6jmU@E3$,"TVSeries","Neighbours"
Izzy,Hoyland,hoyla638,Izzy Hoyland,hoyla638@homelab.net,Neighbours,Barvrouw,Personage uit Neighbours,!6bA&5Kv,"TVSeries","Neighbours"
Luke,Spencer,spenc460,Luke Spencer,spenc460@homelab.net,GeneralHospital,Ondernemer,Personage uit General Hospital,n49Xb#&Q,"TVSeries","GeneralHospital"
Laura,Webber,webbe976,Laura Webber,webbe976@homelab.net,GeneralHospital,Zakenvrouw,Personage uit General Hospital,$3f4qIR&,"TVSeries","GeneralHospital"
Sonny,Corinthos,corin751,Sonny Corinthos,corin751@homelab.net,GeneralHospital,Zakenman,Personage uit General Hospital,e@2@H2dW,"TVSeries","GeneralHospital"
Carly,Spencer,spenc446,Carly Spencer,spenc446@homelab.net,GeneralHospital,Hotelmanager,Personage uit General Hospital,VHk5f@1$,"TVSeries","GeneralHospital"
Jason,Morgan,morga302,Jason Morgan,morga302@homelab.net,GeneralHospital,Veiligheidsagent,Personage uit General Hospital,dl4F!@N1,"TVSeries","GeneralHospital"
Sam,McCall,mccal481,Sam McCall,mccal481@homelab.net,GeneralHospital,Privedetective,Personage uit General Hospital,!Iq4#sO6,"TVSeries","GeneralHospital"
Robin,Scorpio,scorp670,Robin Scorpio,scorp670@homelab.net,GeneralHospital,Arts,Personage uit General Hospital,m#WP9i@0,"TVSeries","GeneralHospital"
Patrick,Drake,drake625,Patrick Drake,drake625@homelab.net,GeneralHospital,Neurochirurg,Personage uit General Hospital,5#6GU@ph,"TVSeries","GeneralHospital"
Anna,Devane,devan435,Anna Devane,devan435@homelab.net,GeneralHospital,Politiecommissaris,Personage uit General Hospital,#$yA2gB0,"TVSeries","GeneralHospital"
Robert,Scorpio,scorp995,Robert Scorpio,scorp995@homelab.net,GeneralHospital,Agent,Personage uit General Hospital,Jur1$$H9,"TVSeries","GeneralHospital"
Maxie,Jones,jones569,Maxie Jones,jones569@homelab.net,GeneralHospital,Moderedacteur,Personage uit General Hospital,$1!p7THg,"TVSeries","GeneralHospital"
Spinelli,Damian,damia396,Damian Spinelli,damia396@homelab.net,GeneralHospital,Hacker,Personage uit General Hospital,$4#8CzSn,"TVSeries","GeneralHospital"
Mac,Scorpio,scorp123,Mac Scorpio,scorp123@homelab.net,GeneralHospital,Commissaris,Personage uit General Hospital,Ee$3m6M#,"TVSeries","GeneralHospital"
Felicia,Jones,jones976,Felicia Jones,jones976@homelab.net,GeneralHospital,Winkelierster,Personage uit General Hospital,R8#$aG4f,"TVSeries","GeneralHospital"
Monica,Quartermaine,quart435,Monica Quartermaine,quart435@homelab.net,GeneralHospital,Cardioloog,Personage uit General Hospital,&I!U09ny,"TVSeries","GeneralHospital"
Alexis,Davis,davis257,Alexis Davis,davis257@homelab.net,GeneralHospital,Advocaat,Personage uit General Hospital,4DZ#$hx5,"TVSeries","GeneralHospital"
Ned,Quartermaine,quart370,Ned Quartermaine,quart370@homelab.net,GeneralHospital,Muzikant,Personage uit General Hospital,5Lu2@uQ!,"TVSeries","GeneralHospital"
Tracy,Quartermaine,quart867,Tracy Quartermaine,quart867@homelab.net,GeneralHospital,Zakenvrouw,Personage uit General Hospital,Vv4#o&2Z,"TVSeries","GeneralHospital"
Adam,Newman,newma615,Adam Newman,newma615@homelab.net,YoungRestless,Directeur,Personage uit Young and the Restless,$4Qb&6Rt,"TVSeries","YoungRestless"
Victor,Newman,newma558,Victor Newman,newma558@homelab.net,YoungRestless,Zakenimperium,Personage uit Young and the Restless,RG5l@h&2,"TVSeries","YoungRestless"
Nikki,Newman,newma802,Nikki Newman,newma802@homelab.net,YoungRestless,Zakenvrouw,Personage uit Young and the Restless,w$WW6#e2,"TVSeries","YoungRestless"
Nick,Newman,newma358,Nick Newman,newma358@homelab.net,YoungRestless,Ondernemer,Personage uit Young and the Restless,5Vl3#Q&m,"TVSeries","YoungRestless"
Sharon,Newman,newma943,Sharon Newman,newma943@homelab.net,YoungRestless,Cafebazin,Personage uit Young and the Restless,$Hv85aR!,"TVSeries","YoungRestless"
Victoria,Newman,newma064,Victoria Newman,newma064@homelab.net,YoungRestless,CEO,Personage uit Young and the Restless,$sYB1#7e,"TVSeries","YoungRestless"
Jack,Abbott,abbot689,Jack Abbott,abbot689@homelab.net,YoungRestless,CEO,Personage uit Young and the Restless,@eB7e&U8,"TVSeries","YoungRestless"
Ashley,Abbott,abbot259,Ashley Abbott,abbot259@homelab.net,YoungRestless,Wetenschapper,Personage uit Young and the Restless,5rH$O&s9,"TVSeries","YoungRestless"
Phyllis,Summers,summe400,Phyllis Summers,summe400@homelab.net,YoungRestless,IT-manager,Personage uit Young and the Restless,8y#k#GV8,"TVSeries","YoungRestless"
Billy,Abbott,abbot959,Billy Abbott,abbot959@homelab.net,YoungRestless,Journalist,Personage uit Young and the Restless,k12IdD&#,"TVSeries","YoungRestless"
Chelsea,Lawson,lawso111,Chelsea Lawson,lawso111@homelab.net,YoungRestless,Modeontwerpster,Personage uit Young and the Restless,7JY$t@2q,"TVSeries","YoungRestless"
Genoa,Chancellor,chanc064,Genoa Chancellor,chanc064@homelab.net,YoungRestless,Zakenvrouw,Personage uit Young and the Restless,8#pYd0#V,"TVSeries","YoungRestless"
Jill,Abbott,abbot143,Jill Abbott,abbot143@homelab.net,YoungRestless,Zakenvrouw,Personage uit Young and the Restless,d$$L41Hx,"TVSeries","YoungRestless"
Cane,Ashby,ashby630,Cane Ashby,ashby630@homelab.net,YoungRestless,Zakenman,Personage uit Young and the Restless,6lMq!A9@,"TVSeries","YoungRestless"
Lily,Winters,winte450,Lily Winters,winte450@homelab.net,YoungRestless,Model,Personage uit Young and the Restless,4$5KsaA@,"TVSeries","YoungRestless"
Diane,Jenkins,jenki016,Diane Jenkins,jenki016@homelab.net,YoungRestless,Actrice,Personage uit Young and the Restless,F#9$Iaw7,"TVSeries","YoungRestless"
Kyle,Abbott,abbot374,Kyle Abbott,abbot374@homelab.net,YoungRestless,CEO,Personage uit Young and the Restless,D!0o8!kQ,"TVSeries","YoungRestless"
Summer,Newman,newma775,Summer Newman,newma775@homelab.net,YoungRestless,Modebedrijf,Personage uit Young and the Restless,$9gZ@Yl3,"TVSeries","YoungRestless"
Tessa,Porter,porte592,Tessa Porter,porte592@homelab.net,YoungRestless,Zangeres,Personage uit Young and the Restless,eOb$B5!8,"TVSeries","YoungRestless"
Mariah,Copeland,copel424,Mariah Copeland,copel424@homelab.net,YoungRestless,Televisiepresentatrice,Personage uit Young and the Restless,@Eo!o26G,"TVSeries","YoungRestless"
Rey,Rosales,rosal024,Rey Rosales,rosal024@homelab.net,YoungRestless,Rechercheur,Personage uit Young and the Restless,2l6V&l&L,"TVSeries","YoungRestless"
Ramona,Acosta,acost097,Ramona Acosta,acost097@homelab.net,HollywoodHeights,Zangeres,Personage uit Hollywood Heights,A0vv!L2&,"TVSeries","HollywoodHeights"
Imogen,Heap,heap587,Imogen Heap,heap587@homelab.net,Emmerdale,Zangeres,Personage fictief Emmerdale,7A@@w4hE,"TVSeries","Emmerdale"
Paddy,Kirk,kirk048,Paddy Kirk,kirk048@homelab.net,Emmerdale,Dierenarts,Personage uit Emmerdale,Q1&#6Ano,"TVSeries","Emmerdale"
Chas,Dingle,dingl562,Chas Dingle,dingl562@homelab.net,Emmerdale,Pubhouder,Personage uit Emmerdale,3o9OOk!$,"TVSeries","Emmerdale"
Marlon,Dingle,dingl092,Marlon Dingle,dingl092@homelab.net,Emmerdale,Kok,Personage uit Emmerdale,0&8c$nLU,"TVSeries","Emmerdale"
Charity,Dingle,dingl049,Charity Dingle,dingl049@homelab.net,Emmerdale,Pubhouder,Personage uit Emmerdale,E0e&e#H7,"TVSeries","Emmerdale"
Sam,Dingle,dingl964,Sam Dingle,dingl964@homelab.net,Emmerdale,Boer,Personage uit Emmerdale,GfeJ08##,"TVSeries","Emmerdale"
Belle,Dingle,dingl667,Belle Dingle,dingl667@homelab.net,Emmerdale,Hairstyliste,Personage uit Emmerdale,O@I&2w3a,"TVSeries","Emmerdale"
Zak,Dingle,dingl985,Zak Dingle,dingl985@homelab.net,Emmerdale,Boer,Personage uit Emmerdale,P$6$N6ye,"TVSeries","Emmerdale"
Lisa,Dingle,dingl391,Lisa Dingle,dingl391@homelab.net,Emmerdale,Boerin,Personage uit Emmerdale,D&Ix2#l4,"TVSeries","Emmerdale"
Aaron,Dingle,dingl994,Aaron Dingle,dingl994@homelab.net,Emmerdale,Monteur,Personage uit Emmerdale,Lw!V5$8u,"TVSeries","Emmerdale"
Robert,Sugden,sugde015,Robert Sugden,sugde015@homelab.net,Emmerdale,Zakenman,Personage uit Emmerdale,L&&51Znv,"TVSeries","Emmerdale"
Andy,Sugden,sugde332,Andy Sugden,sugde332@homelab.net,Emmerdale,Boer,Personage uit Emmerdale,w&jX0H5&,"TVSeries","Emmerdale"
Victoria,Sugden,sugde844,Victoria Sugden,sugde844@homelab.net,Emmerdale,Kok,Personage uit Emmerdale,d2K$A2$o,"TVSeries","Emmerdale"
Laurel,Thomas,thoma701,Laurel Thomas,thoma701@homelab.net,Emmerdale,Kantoormedewerker,Personage uit Emmerdale,o7b1K&@P,"TVSeries","Emmerdale"
Bernice,Blackstock,black513,Bernice Blackstock,black513@homelab.net,Emmerdale,Kapster,Personage uit Emmerdale,7&v1$XpM,"TVSeries","Emmerdale"
Diane,Thomas,thoma007,Diane Thomas,thoma007@homelab.net,Emmerdale,Pubhouder,Personage uit Emmerdale,Jz$2!X5s,"TVSeries","Emmerdale"
Bob,Hope,hope343,Bob Hope,hope343@homelab.net,Emmerdale,Cafetariahouder,Personage uit Emmerdale,$0wBr9L$,"TVSeries","Emmerdale"
Nicola,King,king409,Nicola King,king409@homelab.net,Emmerdale,Zakenvrouw,Personage uit Emmerdale,&B7q$1kC,"TVSeries","Emmerdale"
Jimmy,King,king088,Jimmy King,king088@homelab.net,Emmerdale,Transportondernemer,Personage uit Emmerdale,Cf6j9$Z&,"TVSeries","Emmerdale"
Jai,Sharma,sharm366,Jai Sharma,sharm366@homelab.net,Emmerdale,Fabriekshouder,Personage uit Emmerdale,uWk@5V$4,"TVSeries","Emmerdale"
Priya,Sharma,sharm883,Priya Sharma,sharm883@homelab.net,Emmerdale,Modebedrijf,Personage uit Emmerdale,!UAf@3z1,"TVSeries","Emmerdale"
Rishi,Sharma,sharm572,Rishi Sharma,sharm572@homelab.net,Emmerdale,Fabrikant,Personage uit Emmerdale,ts&8$I8L,"TVSeries","Emmerdale"
Graham,Foster,foste833,Graham Foster,foste833@homelab.net,Emmerdale,Adviseur,Personage uit Emmerdale,34Shx#$M,"TVSeries","Emmerdale"
Vanessa,Woodfield,woodf738,Vanessa Woodfield,woodf738@homelab.net,Emmerdale,Dierenarts,Personage uit Emmerdale,LW$$29by,"TVSeries","Emmerdale"
Tracey,Webb,webb022,Tracey Webb,webb022@homelab.net,CoronationStreet,Winkelierster,Personage uit Coronation Street,Q!4S1p@t,"TVSeries","CoronationStreet"
Eileen,Grimshaw,grims342,Eileen Grimshaw,grims342@homelab.net,CoronationStreet,Telefoniste,Personage uit Coronation Street,5!@Y6zxP,"TVSeries","CoronationStreet"
Jason,Grimshaw,grims349,Jason Grimshaw,grims349@homelab.net,CoronationStreet,Bouwer,Personage uit Coronation Street,f5@m@MZ7,"TVSeries","CoronationStreet"
Sean,Tully,tully908,Sean Tully,tully908@homelab.net,CoronationStreet,Verkoopmedewerker,Personage uit Coronation Street,J$f2P@9j,"TVSeries","CoronationStreet"
Michelle,Connor,conno394,Michelle Connor,conno394@homelab.net,CoronationStreet,Barmanager,Personage uit Coronation Street,K@59@oJi,"TVSeries","CoronationStreet"
Peter,Barlow,barlo850,Peter Barlow,barlo850@homelab.net,CoronationStreet,Drankhandelaar,Personage uit Coronation Street,gO#5!6Lf,"TVSeries","CoronationStreet"
Giuseppe,Farina,farin898,Giuseppe Farina,farin898@homelab.net,Alfa Romeo,Formule 1 Wereldkampioen 1950,Formule 1 Coureur voor Alfa Romeo,WSA9Bh#M,"Formule1","AlfaRomeo"
Juan Manuel,Fangio,fangi755,Juan Manuel Fangio,fangi755@homelab.net,Alfa Romeo,5-voudig Wereldkampioen,Formule 1 Coureur voor Alfa Romeo,hqf#SN7a,"Formule1","AlfaRomeo"
Alberto,Ascari,ascar939,Alberto Ascari,ascar939@homelab.net,Ferrari,Tweevoudig Wereldkampioen,Formule 1 Coureur voor Ferrari,WCX$5Wqx,"Formule1","Ferrari"
Stirling,Moss,mossx146,Stirling Moss,mossx146@homelab.net,Vanwall,Formule 1 Coureur,Formule 1 Coureur voor Vanwall,bH0L#wM%,"Formule1","Vanwall"
Mike,Hawthorn,hawth864,Mike Hawthorn,hawth864@homelab.net,Ferrari,Formule 1 Wereldkampioen 1958,Formule 1 Coureur voor Ferrari,7#IMba%%,"Formule1","Ferrari"
Luigi,Fagioli,fagio318,Luigi Fagioli,fagio318@homelab.net,Alfa Romeo,Formule 1 Coureur,Formule 1 Coureur voor Alfa Romeo,@tCzbN60,"Formule1","AlfaRomeo"
Jose Froilan,Gonzalez,gonza301,Jose Froilan Gonzalez,gonza301@homelab.net,Ferrari,Formule 1 Coureur,Formule 1 Coureur voor Ferrari,X52@gJwX,"Formule1","Ferrari"
Maurice,Trintignant,trint310,Maurice Trintignant,trint310@homelab.net,Cooper,Formule 1 Coureur,Formule 1 Coureur voor Cooper,@8e4DY&o,"Formule1","Cooper"
Jack,Brabham,brabh835,Jack Brabham,brabh835@homelab.net,Brabham,3-voudig Wereldkampioen,Formule 1 Coureur voor Brabham,686Ho4$j,"Formule1","Brabham"
Jim,Clark,clark670,Jim Clark,clark670@homelab.net,Lotus,Tweevoudig Wereldkampioen,Formule 1 Coureur voor Lotus,8fVD$ATR,"Formule1","Lotus"
Graham,Hill,hillx923,Graham Hill,hillx923@homelab.net,BRM,Tweevoudig Wereldkampioen,Formule 1 Coureur voor BRM,F0!s3lTm,"Formule1","BRM"
John,Surtees,surte211,John Surtees,surte211@homelab.net,Ferrari,Formule 1 Wereldkampioen 1964,Formule 1 Coureur voor Ferrari,n2nB$fEl,"Formule1","Ferrari"
Denny,Hulme,hulme488,Denny Hulme,hulme488@homelab.net,Mc Laren,Formule 1 Wereldkampioen 1967,Formule 1 Coureur voor Mc Laren,K5#ZW6xM,"Formule1","McLaren"
